+6:-11::8.0000000000:8.0000000000  54.8135 -83.0408
-1:+5::8.0000000000:8.0000000000 -3.06791  40.2979
+1:+0::8.0000000000:8.0000000000 11.0216 2.02154
+3:+3::8.0000000000:8.0000000000 24.9828 30.1732
+1:+1::8.0000000000:8.0000000000  11.645 12.1089
+3:+6::8.0000000000:8.0000000000 23.9885  53.073
+2:+4::8.0000000000:8.0000000000 22.0572 40.0624
+2:+1::8.0000000000:8.0000000000 23.0019 15.0393
+0:-1::8.0000000000:8.0000000000 0.00266866  0.0684647
+0:+1::8.0000000000:8.0000000000 3.07299 10.0361
+4:+1::8.0000000000:8.0000000000 33.9648  10.066
